English_United_States,English_United_States_Def,Arabic,Arabic_Def,French,French_Def,Finnish,Finnish_Def,German,German_Def,Italian,Italian_Def,Russian,Russian_Def,Spanish,Spanish_Def,Chinese_Hant,Chinese_Hant_Def
Hash Rate,"The hash rate is the measuring unit of the processing power of the Bitcoin network. The Bitcoin network must make intensive mathematical operations for security purposes. When the network reached a hash rate of 10 Th/s, it meant it could make 10 trillion calculations per second.",,,Taux de hachage,"Le taux de hachage est l'unité de mesure de la puissance de traitement du réseau Bitcoin. Le réseau Bitcoin doit faire des calculs mathématiques intensifs pour des raisons de sécurité. Quand le réseau a atteint un taux de hachage de 10 Th/s, ceci signifiait que le réseau pouvait faire 10 billions de calculs par secondes.",,,Hashrate,"Die Hashrate ist die Maßeinheit für die Rechenleistung des Bitcoin-Netzwerks. Aus Sicherheitsgründen muss das Bitcoin-Netzwerk aufwendige mathematische Rechenoperationen durchführen. Wenn das Netzwerk eine Hashrate von 10 TH/s erreicht, heißt das, dass es 10 Billionen Berechnungen pro Sekunde durchführen kann.",Hash Rate,"Per hash rate si intende l'unità di misura della potenza di elaborazione della rete Bitcoin. Per fini di sicurezza la rete Bitcoin deve eseguire delle operazioni matematiche intensive. Quando la rete raggiunge un hash rate di 10 Th/s, significa che può realizzare un trilione di calcoli al secondo.",Хэшрейт,"Мощность хэширования (хэшрейт) - это единица измерения вычислительной мощности сети Биткойн. Сеть Биткойн должна производить сложные математические вычисления в целях обеспечения безопасности. Когда сеть достигает хэшрейта 10 Терахэшей в секунду, это означает, что она может выполнять 10 триллионов вычислений за 1 секунду.",Velocidad Hash,"La tasa de hash o ""hash rate"" es la unidad de medida de la potencia de procesamiento de la red Bitcoin. La red Bitcoin debe hacer intensivas operaciones matemáticas por razones de seguridad. Cuando la red alcanza un hash rate de 10 TH/s significa que puede hacer 10 billones de cálculos por segundo.",,
Mining,"Bitcoin mining is the process of making computer hardware do mathematical calculations for the Bitcoin network to confirm transactions and increase security. As a reward for their services, Bitcoin miners can collect transaction fees for the transactions they confirm, along with newly created bitcoins. Mining is a specialized and competitive market where the rewards are divided up according to how much calculation is done. Not all Bitcoin users do Bitcoin mining, and it is not an easy way to make money.",,,Minage,"Le minage de bitcoins est l'utilisation de matériel informatique pour effectuer des calculs mathématiques pour le réseau Bitcoin afin de confirmer des transactions et d'augmenter la sécurité. Comme récompense pour leurs services, les mineurs de bitcoins peuvent recevoir les frais de transaction pour les transactions qu'ils confirment et pour les bitcoins nouvellement créés. Le minage est un marché spécialisé compétitif où les récompenses sont divisées en fonction du nombre de calculs effectués. Tous les utilisateurs de Bitcoin ne font pas de minage et il ne s'agit pas d'une manière facile pour faire de l'argent.",,,Mining,"Bitcoin-Mining ist die Durchführung mathematischer Berechnungen durch Computer Hardware, um Bitcoin-Transaktionen zu bestätigen und die Sicherheit zu erhöhen. Als Belohnung für ihre Dienste können Bitcoin-Miner Transaktionsgebühren für von ihnen bestätigte Transaktionen und neu erschaffene Bitcoins sammeln. Mining ist ein spezialisierter und wettbewerbsgetriebener Markt, die Belohnungen werden je nach geleisteter Rechenarbeit aufgeteilt. Nicht alle Bitcoin-Nutzer betreiben Mining, und es ist kein einfacher Weg, an Geld zu kommen.",Mining,"Per mining si intende il processo che fa eseguire all'hardware del computer calcoli matematici al fine di confermare le transazioni ed aumentare la sicurezza della rete Bitcoin. Come ricompensa per il loro servizio, i miner (minatori) di Bitcoin possono incassare delle commissioni sulle transazioni che confermano insieme ai nuovi bitcoin appena creati. Quello del mining è un mercato specializzato e competitivo dove le ricompense sono divise in base a quanti calcoli sono stati eseguiti. Non tutti gli utenti Bitcoin si cimentano nel mining e non è un modo facile per fare soldi.",Майнинг,"Майнинг биткойнов - это процесс, подразумевающий использование аппаратных ресурсов компьютера с целью выполнения математических вычислений для подтверждения транзакций и обеспечения безопасности сети Биткойн. В качестве вознаграждения за свои услуги майнеры получают средства за подтвержденные транзакции - вновь создаваемые биткойны. Майнинг - это специфичный и конкурентный рынок, на котором вознаграждение делиться в соответствии с количеством выполненных вычислений. Не все биткойн-пользователи используют майнинг, это не легкий способ заработать.",Minería,"La minería en Bitcoin es el proceso de realizar cálculos matemáticos mediante computadoras para confirmar las transacciones en la red Bitcoin e incrementar la seguridad. Como recompensa por sus servicios, los mineros Bitcoin pueden cobrar los costos de transacción de las transacciones que confirman junto con bitcoins nuevos que se crean en cada bloque. La minería es un mercado especializado y competitivo en el que los beneficios se reparten de acuerdo a la cantidad de cálculos que se hacen. No todos los usuarios de Bitcoin realizan minería y no es una manera fácil de hacer dinero.",,
P2P,"Peer-to-peer refers to systems that work like an organized collective by allowing each individual to interact directly with the others. In the case of Bitcoin, the network is built in such a way that each user is broadcasting the transactions of other users. And, crucially, no bank is required as a third party.",,,P2P,"Pair à pair fait référence à des systèmes qui fonctionnent comme une collectivité organisée en permettant à chaque individu d'interagir directement avec les autres. Dans le cas de Bitcoin, le réseau est construit de manière à ce que chaque utilisateur diffuse les transactions des autres utilisateurs. Et, chose cruciale, aucune banque n'est requise en tant que tierce partie.",,,P2P,"Der Begriff ""Peer-To-Peer"" bezeichnet Systeme, die wie ein organisiertes Kollektiv arbeiten indem jeder Einzelne direkt mit den anderen interagiert. Im Fall von Bitcoin ist das Netzwerk so ausgelegt, dass jeder Nutzer die Transkationen anderer Nutzer übermittelt. Und, noch wichtiger: es wird keine Bank als dritte Instanz benötigt.",P2P,"Per peer to peer si intendono i sistemi che funzionano come un collettivo organizzato permettendo ad ogni individuo di interagire direttamente con gli altri. Nel caso di Bitcoin, la rete è costruita in modo che ogni utente trasmetta le transazioni degli altri utenti. E, fatto di importanza cruciale, nessuna banca è richiesta come terzi.",P2P,"Термин peer to peer означает систему, которая работает как организованное сообщество, давая возможность каждому участнику напрямую взаимодействовать с остальными. Сеть Биткойн построена таким образом, что каждый пользователь транслирует транзакции остальных. Ключевым моментом является то, что для работы не требуется никакой банк или другой посредник.",P2P,"Punto a punto se refiere a los sistemas que trabajan como una organización colectiva, permitiendo que cada individuo interactúe directamente con otros. En el caso de Bitcoin, la red se construye de tal manera que cada usuario está transmitiendo transacciones de otros usuarios. Y algo muy importante, ningún banco se requiere como intermediario.",,
Private Key,A private key is a secret piece of data that proves your right to spend bitcoins from a specific wallet through a cryptographic signature. Your private key(s) are stored in your computer if you use a software wallet; they are stored on some remote servers if you use a web wallet. Private keys must never be revealed as they allow you to spend bitcoins for their respective Bitcoin wallet.,,,Clé privée,"Une clé privée est une information secrète qui prouve votre droit de dépenser des bitcoins à partir d'un portefeuille défini grâce à une signature cryptographique. Vos clés privées sont stockées dans votre ordinateur si vous utilisez un portefeuille logiciel, tandis qu'elles sont stockées sur quelques serveurs en ligne si vous utilisez un portefeuille Web. Les clés privées ne doivent jamais être révélées car elles permettent de dépenser les bitcoins de leur portefeuille respectif.",,,Privater Schlüssel,"Ein privater Schlüssel ist ein geheimer Datenblock, der über eine kryptographische Signatur Ihr Recht beweisst, Bitcoins einer bestimmten Bitcoin-Wallet ausgeben zu dürfen. Ihre privaten Schlüssel sind auf Ihrem Computer gespeichert, wenn Sie eine Software-Wallet verwenden, oder auf entfernten Servern, wenn Sie eine Web-Wallet nutzen. Private Schlüssel dürfen niemals preisgegeben werden, da mit ihnen die Bitcoins der jeweiligen Wallets ausgegeben werden können.",Chiave Privata,Una chiave privata è una parte di dati segreti che provano che sei tu ad utilizzare bitcoin da un determinato portafoglio attraverso una firma crittografata . La tua chiave privata (o chiavi private) è conservata nel tuo computer se utilizzi un portafoglio software; è invece conservata in un server remoto se utilizzi un portafoglio web. La chiave privata non deve essere rivelata ad altri in quanto ti permette di utilizzare i fondi dal tuo portafoglio Bitcoin,Приватный ключ,"Приватный ключ это секретная информация, которая подтверждает ваше право тратить биткойны при помощи специального кошелька посредством криптографической подписи. Ваш приватный ключ (ключи) хранятся на вашем компьютере, если вы используете программный кошелек; они хранятся на удаленных серверах, если вы используете интернет кошелек. Не следует публично разглашать свои ключи, потому что они позволяют тратить биткойны из относящегося к ним кошелька.",Llave Privada,Una clave privada es una pieza secreta de datos que acredita su derecho a gastar Bitcoins de un monedero Bitcoin por medio de una firma criptográfica. Sus clave(s) privadas se almacenan en su ordenador si utiliza un monedero de escritorio; mientras que si utiliza un monedero web serán almacenadas en servidores remotos del proveedor. Las claves privadas nunca deben ser compartidas ya que le permiten gastar bitcoins desde su monedero correspondiente.,,
Signature,"A cryptographic signature is a mathematical mechanism that allows someone to prove ownership. In the case of Bitcoin, a Bitcoin wallet and its private key(s) are linked by some mathematical magic. When your Bitcoin software signs a transaction with the appropriate private key, the whole network can see that the signature matches the bitcoins being spent. However, there is no way for the world to guess your private key to steal your hard-earned bitcoins.",,,Signature,"Une signature cryptographique est un mécanisme mathématique qui permet à quelqu'un de prouver sa propriété. Dans le cas de Bitcoin, un portefeuille Bitcoin et ses clés privées sont liés par la magie des mathématiques. Quand votre logiciel Bitcoin signe une transaction avec la clé privée appropriée, le réseau entier peut voir que la signature correspond aux bitcoins dépensés. Cependant, il n'existe aucun moyen de deviner votre clé privée afin de voler vos bitcoins durement gagnés.",,,Signatur,"Eine kryptographische Signatur ist ein mathematischer Mechanismus, um Eigentumsrechte nachzuweisen. Im Fall von Bitcoin wird eine Bitcoin-Wallet und deren private Schlüssel durch eine Art mathematische Magie miteinander verknüpft. Wenn Ihre Bitcoin-Software eine Transaktion mit dem passenden privaten Schlüssel signiert, kann das ganze Netzwerk sehen, dass die Signatur zu den ausgegebenen Bitcoins passt. Dennoch kann niemand Ihren privaten Schlüssel erraten, um so Ihre hart verdienten Bitcoins zu stehlen.",Firma,Firma,Подпись,"Криптографическая подпись - это математический механизм, позволяющий кому-либо доказать право собственности. В случае с Биткойном, биткойн-кошелек и содержащийся в нем секретный ключ(ключи) имеют неразрывную математическую связь. Когда ваша программа-кошелек подписывает транзакцию правильным приватным ключом, вся сеть видит, что ключи совпадают, и биткойны переводятся. Однако, нет никакого способа угадать ваш приватный ключ, чтобы украсть ваши с трудом заработанные биткойны.",Firma,"Una firma criptográfica es un mecanismo matemático que permite a alguien demostrar su propiedad. En el caso de Bitcoin, un monedero Bitcoin y su clave(s) privada esta vinculada por algún tipo de magia matemática. Cuando su programa de Bitcoin firma una transacción con la clave privada correspondiente, toda la red puede ver que la firma coincide con los bitcoins gastados. Sin embargo, no hay forma de que el mundo descubra la clave privada para robar sus bitcoins.",,
Wallet,"A Bitcoin wallet is loosely the equivalent of a physical wallet on the Bitcoin network. The wallet actually contains your private key(s) which allow you to spend the bitcoins allocated to it in the block chain. Each Bitcoin wallet can show you the total balance of all bitcoins it controls and lets you pay a specific amount to a specific person, just like a real wallet. This is different to credit cards where you are charged by the merchant.",,,Portefeuille,"Un portefeuille Bitcoin est vaguement l'équivalent d'un portefeuille physique sur le réseau Bitcoin. Un portefeuille contient en fait vos clés privées qui vous permettent de dépenser les bitcoins qui leurs sont associées dans la chaine de blocs. Chaque portefeuille Bitcoin peut afficher le solde de tous les bitcoins qu'il contrôle et vous permet de payer un montant spécifique à une personne spécifique, de la même façon qu'un vrai portefeuille. Ce qui est différent des cartes de crédit où le commerçant vous facture directement.",,,Wallet,"Eine Bitcoin-Wallet ist im Bitcoin-Netzwerk das Gegenstück zu einer echten Geldbörse. Genau genommen enthält die Wallet Ihre privaten Schlüssel, die Ihnen das Recht geben, die Bitcoins auszugeben, die in der Blockchain diesen Schlüsseln zugewiesen sind. Jede Bitcoin-Wallet kann Ihnen den aktuellen Kontostand anzeigen und ermöglicht es Ihnen, eine bestimmte Geldmenge an bestimmte Personen zu zahlen, genau wie mit einer echten Geldbörse. Das ist anderrs als bei Kreditkarten, bei denen das Geld vom Händler eingezogen wird.",Portafoglio,"Un portafoglio di Bitcoin è circa l'equivalente di un portafoglio materiale sul network di Bitcoin. In realtà il tuo portafoglio contiene le chiavi private che ti permettono di usare i bitcoin allocati nella block chain. Ogni portafoglio Bitcoin può mostrarti il bilancio totale di tutti i bitcoin che controlla e ti permette di pagare cifre precise ad una persona specifica, come un vero portafoglio. Questo è diverso dalla carte di credito dove ti sono addebitate le spese dal commerciante.",Кошелек,"Биткойн-кошелек, если по простому, то это эквивалент физического кошелька в сети Биткойн. Кошелек на самом деле содержит ваш приватный ключ(ключи), что позволяет вам тратить биткойны размещенные в цепочке блоков. Каждый биткойн-кошелек показывает баланс всех биткойнов, которые он контролирует, и позволяет вам заплатить конкретную сумму конкретному человеку, как и физический кошелек. Он отличается от кредитных карт, где с вас списывает средства продавец.",Monedero,"Un monedero Bitcoin es aproximadamente equivalente a un monedero físico en la red Bitcoin. El monedero realmente contiene su clave(s) privada que le permite gastar los bitcoins asignados a la clave en la cadena de bloques. Cada monedero Bitcoin puede mostrarle la cantidad de bitcoins que contiene y le permite pagar una cantidad especifica a una persona especifica, como un monedero de verdad. Es diferente a una tarjeta de credito donde eres cobrado por el comerciante.",,
51 percent attack,The ability of someone controlling a majority of network hash rate to revise transaction history and prevent new transactions from confirming.<br/><br/><br/>,,,,,,,,,,,,,,,,
Base58check,"The method used in Bitcoin for converting 160-bit hashes into P2PKH and P2SH addresses. Also used in other parts of Bitcoin, such as encoding private keys for backup in WIP format. Not the same as other base58 implementations.",,,,,,,,,,,,,,,,
Block header,An 80-byte header belonging to a single block which is hashed repeatedly to create proof of work.,,,,,,,,,,,,,,,,
Height,"The number of blocks preceding a particular block on a block chain. For example, the genesis block has a height of zero because zero block preceded it.",,,,,,,,,,,,,,,,
Block reward,The amount that miners may claim as a reward for creating a block. Equal to the sum of the block subsidy (newly available satoshis) plus the transactions fees paid by transactions included in the block.,,,,,,,,,,,,,,,,
Maximum Block Size,The maximum size of a block according to the consensus rules. The current block size limit is 4 million weight units (1 million vbytes).,,,,,,,,,,,,,,,,
Blocks-first sync,Synchronizing the block chain by downloading each block from a peer and then validating it.,,,,,,,,,,,,,,,,
Bloom filter,A filter used primarily by SPV clients to request only matching transactions and merkle blocks from full nodes.,,,,,,,,,,,,,,,,
