term,pos,comment,af,comment_af,ar,comment_ar,be,comment_be,bg,comment_bg,bn,comment_bn,ca,comment_ca,cs,comment_cs,da,comment_da,de,comment_de,el,comment_el,eo,comment_eo,es,comment_es,et,comment_et,fa,comment_fa,fi,comment_fi,fil,comment_fil,fr,comment_fr,gu,comment_gu,he,comment_he,hi,comment_hi,hr,comment_hr,hu,comment_hu,id,comment_id,is,comment_is,it,comment_it,ja,comment_ja,ka,comment_ka,km,comment_km,ko,comment_ko,ku,comment_ku,lt,comment_lt,lv,comment_lv,mk,comment_mk,ml,comment_ml,mn,comment_mn,mr,comment_mr,ms,comment_ms,my,comment_my,nl,comment_nl,no,comment_no,pl,comment_pl,pt_BR,comment_pt_BR,pt_PT,comment_pt_PT,ro,comment_ro,ru,comment_ru,si,comment_si,sk,comment_sk,sl,comment_sl,sq,comment_sq,sr,comment_sr,sv,comment_sv,ta,comment_ta,th_TH,comment_th_TH,tr,comment_tr,uk,comment_uk,ur,comment_ur,uz,comment_uz,vi,comment_vi,zh_CN,comment_zh_CN,zh_TW,comment_zh_TW
Bitcoin economy,Noun,,,,اقتصاد بت كوين ,,,,,,,,,,,,,,,,Bitcoin οικονομία,,,,economía Bitcoin,,,,اقتصاد بیت کوین,,,,,,Économie Bitcoin,,,,,,,,Bitcoin ekonomija,,Bitcoin-gazdaság,,,,,,economia di Bitcoin,,,,,,សេដ្ឋកិច្ចBitcoin,,비트코인 경제,,,,Bitcoin ekonomika,,,,,,,,,,,,,,,,Bitcoin-economie,,,,,,,,economia Bitcoin,,,,биткойн-экономика,,,,,,,,,,,,Bitcoinekonomi,,பிட்காயின்  பொருளாதாரம்,,,,,,,,,,,,,,比特币生态,,,
Bitcoin miner,Noun,,,,منقب بت كوين,,,,,,,,,,,,,,,,Bitcoin miner,Αυτός που κάνει εξορύξεις bitcoin με μηχανήματα ,,,minero Bitcoin,,,,استخراج‌گر بیت کوین,,,,,,Mineur de Bitcoin,,,,כורה ביטקוין,,,,Bitcoin rudar,,bitcoinbányász,,penambang bitcoin,,,,minatore di Bitcoin,,,,,,អ្នករករ៉ែBitcoin,,비트코인 채굴자,,,,,,,,,,,,,,,,,,,,Bitcoin-miner,,,,górnik Bitcoin,,,,Mineiro de Bitcoins,,,,биткойн-майнер,,,,,,,,,,,,Bitcoinbrytare,,பிட்காயின் மைனர்,,,,,,,,,,,,,,比特币矿工,,,
Bitcoin mining,Noun,,,,تنقيب البت كوين,,,,,,,,,,,,,,,,Bitcoin εξόρυξη,,,,minero Bitcoin,Se refiere a la minería de datos,,,استخراج بیت کوین,,,,,,Extraction de Bitcoin,,,,כריית ביטקוין,,,,Bitcoin rudarenje,,bitcoinbányászat,"Elsőre furcsán hathat, de egybe kell írni a helyesírási szabályok szerint.",penambangan bitcoin,,,,mining di Bitcoin,,,,,,ការរករ៉ែBitcoin,,비트코인 채굴,,,,Bitkoinų kasimas,,,,,,,,,,,,,,,,Bitcoin-mining,,,,,,,,Exploração Bitcoin,,,,биткойн-майнинг,,,,,,,,,,,,Bitcoinbrytning,,பிட்காயின் மைனிங்,,,,,,,,,,,,,,比特币挖矿,,,
Bitcoin network,,,,,,,,,,,,,,,,,,,,,,,,,red Bitcoin,,,,,,,,,,,,,,ברשת ביטקוין,,,,,,,,,,,,rete di Bitcoin,,,,,,,,,,,,Bitkoino tinklas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omrežje bitcoin,,,,,,,,பிட்காயின் வலையமைப்பு,,,,,,Мережа Біткойн,,,,,,,,,,,
Bitcoin network,Noun,,,,شبكة البت كوين,,,,,,,,,,,,,,Bitcoin-Netzwerk,,Bitcoin δίκτυο,,,,red Bitcoin,,,,شبکه بیت کوین,,,,,,réseau Bitcoin,,,,רשת ביטקוין,,,,Bitcoin mreža,,Bitcoin-hálózat,,jaringan bitcoin,,,,rete di Bitcoin,,,,,,បណ្តាញBitcoin,,비트코인 네트워크,,,,„Bitcoin“ tinklas,,,,,,,,,,,,,,,,Bitcoin-netwerk,,,,,,,,Rede Bitcoin,,,,сеть Биткойн,,,,,,omrežje bitcoin,,,,,,Bitcoinnätverket,,பிட்காயின் வலையமைப்பு,,,,,,Біткойн мережа,,,,,,,,比特币网络,,,
Bitcoin payments,Noun,,,, دفعات بت كوين ,,,,,,,,,,,,,,Bitcoin-Zahlungen,,Bitcoin πληρωμές,,,,pagos Bitcoin,,,,پرداخت بیت کوین‌ی,,,,,,paiements en bitcoin,,,,תשלומי ביטקוין,,,,Bitcoin plaćanja,,bitcoinutalások,Kontextustól függően.,pembayaran bitcoin,,,,pagamenti Bitcoin,,,,,,ការទូទាត់Bitcoin,,,,,,Bitkoinų mokėjimas,,Bitcoin maksājumi,,,,,,,,,,,,,,Bitcoin-betalingen,,,,,,,,Pagamentos Bitcoin,,,,биткойн-платежи,,,,,,,,,,,,Bitcoinbetalningar,,பிட்காயின் கட்டணம்,,,,,,Біткойн платежі,,,,,,,,比特币支付,,,
Bitcoin protocol,Noun,,,,برتوكول بت كوين ,,,,,,,,,,,,,,Bitcoin-Protokoll,,Bitcoin  πρωτόκολλο,,,,protocolo Bitcoin,,,,پروتکل بیت کوین,,,,,,protocole Bitcoin,,,,פרוטוקול ביטקוין,,,,Bitcoin protokol,,Bitcoin-protokoll,,,,,,protocollo Bitcoin,,,,,,ពិធីការBitcoin,,,,,,„Bitcoin“ protokolas,,,,,,,,,,,,,,,,Bitcoin-protocol,,,,,,,,Protocolo Bitcoin,,,,биткойн-протокол,,,,,,protokol bitcoin,,,,,,Bitcoinprotokollet,,பிட்காயின் நெறிமுறை,,,,,,Біткойн протокол,,,,,,,,比特币协议,,,
Bitcoin users,Noun,,,, مستعملو بت كوين,,,,,,,,,,,,,,Bitcoin-Nutzer,,Bitcoin χρήστες,,,,usuarios Bitcoin,,,,کاربر بیت کوین,,,,,,utilisateurs du bitcoin,,,,משתמשי ביטקוין,,,,Bitcoin korisnici,,Bitcoin-felhasználók,,pengguna bitcoin,,,,utenti Bitcoin,,,,,,អ្នកប្រើប្រាស់Bitcoin,,,,,,„Bitcoin“ naudotojai,,,,,,,,,,,,,,,,Bitcoin-gebruikers,,,,,,,,Utilizadores Bitcoin,,,,биткойн-пользователи,,,,,,uporabniki bitcoina,,,,,,Bitcoinanvändare,,பிட்காயின்  பயனர்கள்,,,,,,Біткойн користувачі,,,,,,,,比特币用户,,,
Bitcoin-Qt,Noun,,,,واجهة بت كوين,,,,,,,,,,,,,,,,Bitcoin-Qt,,,,,,,,,,,,,,,,,,,,,,Bitcoin-Qt,,Bitcoin-Qt,,,,,,Bitcoin-Qt,,,,,, Bitcoin-Qt ,,,,,,„Bitcoin-Qt“,,,,,,,,,,,,,,,,Bitcoin-Qt,,,,,,,,Qt Bitcoin,,,,Bitcoin Core,,,,,,,,,,,,Bitcoin-Qt,,பிட்காயின்-Qt,,,,,,Біткойн Qt,,,,,,,,Bitcoin-Qt,,,
Bitcoin.org,,,,,,,,,,,,,,,,,,,,,Bitcoin.org,,,,,,,,,,,,,,,,,,bitcoin.org,,,,,,Bitcoin.org,,,,,,Bitcoin.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bitcoin.org,,,,,,,,,,,,,,,,,
Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,cadena de bloques,,,,,,,,,,,,,,שרשרת הבלוקים,,,,,,,,,,,,Blockchain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,Noun,,,,فناة,,,,,,,,,,,,,,,,Κανάλι,,,,canal,,,,کانال,,,,,,Chaîne,,,,,,,,kanal,,,,,,,,Canale,,,,,,បុស្តិ៍,,,,,,Kanalas,,,,,,,,,,,,,,,,,,,,,,,,Canal,,,,,,,,,,,,,,,,Kanal,,,,,,,,,,,,,,,,,,,
Chat,Noun,,,,دردشة,,,,,,,,,,,,,,,,Συζητώ,,,,chat,,,,گفت و گو,,,,,,,,,,,,,,chat/čavrljanje,,,,,,,,Chat,,,,,,ជជែក,,,,,,Pokalbis,,,,,,,,,,,,,,,,Chat,,,,,,,,Conversa,,,,,,,,,,,,,,,,Chatt,,,,,,,,,,,,,,,,,,,
Check,Verb,,,,تحقق,,,,,,,,,,,,,,,,Ελέγχω,,,,revisar,,,,بررسی,,,,,,Vérifier,,,,,,,,,,,,,,,,Controllare,,,,,,ពិនិត្យ,,,,,,,,,,,,,,,,,,,,,,Controleren,,,,,,,,Validar,,,,,,,,,,,,,,,,Kontrollera,,,,,,,,,,,,,,,,,,,
Conference,Noun,,,,مؤتمر,,,,,,,,,,,,,,,,Διάσκεψη,,,,conferencia,,,,سخنرانی,,,,,,Conférence,,,,,,,,,,,,,,,,Conferenza,,,,,,សន្និសិទ,,,,,,konferencija,,,,,,,,,,,,,,,,,,,,,,,,Conferência,,,,,,,,,,,,,,,,Konferens,,,,,,,,,,,,,,,,,,,
Conferences,Noun,,,,مؤتمرات,,,,,,,,,,,,,,,,Διασκέψεις,,,,conferencias,,,,سخنرانی‌ها,,,,,,Conférences,,,,,,,,,,,,,,,,Conferenze,,,,,,សន្និសិទច្រើន,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conferências,,,,,,,,,,,,,,,,Konferenser,,,,,,,,,,,,,,,,,,,
Confused,Adjective,,,,,,,,,,,,,,,,,,,,Μπερδεμένος,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Confuso,,,,,,បានច្រឡំ,,,,,,Sutrikęs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Development,Noun,,,,,,,,,,,,,,,,,,,,,,,,desarrollo,,,,توسعه,,,,,,Dévelopement,,,,,,,,Razvoj,,,,,,,,sviluppo,,,,,,ការអភិវឌ្ឍន៍,,,,,,,,,,,,,,,,,,,,,,Ontwikkeling,,,,,,,,,,,,,,,,,,,,,,,,Utveckling,,,,,,,,,,,,,,,,,,,
Discloses,Verb,,,,كشف عن,,,,,,,,,,,,,,,,,,,,revelados de información,revelados/divulgados,,,,,,,,,Révéler,,,,,,,,,,,,,,,,Rilevare,,,,,,បង្ហាញ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Download,Verb,,,,حمل,,,,,,,,,,,,,,,,,,,,descarga,,,,,,,,,,Télécharger,,,,,,,,,,,,,,,,Download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Descarregar,,,,,,,,,,,,,,,,Ladda ner,,,,,,,,,,,,,,,,下载,,,
Economy,Noun,,,,الإقتصاد,,,,,,,,,,,,,,,,,,,,economía,,,,اقتصاد,,,,,,Économie,,,,,,,,,,,,,,,,Economia,,,,,,សេដ្ឋកិច្ច,,,,,,ekonomika,,,,,,,,,,,,,,,,Economie,,,,,,,,Economia,,,,,,,,,,,,,,,,Ekonomi,,,,,,,,,,,,,,,,,,,
General,Adverb,,,,,,,,,,,,,,,,,,,,,,,,general,,,,,,,,,,,,,,,,,,Općeniti,,,,,,,,Generalmente,,,,,,ជាទូទៅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allmän,,,,,,,,,,,,,,,,,,,
GitHub,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GitHub,,,,,,GitHub,,,,,,GitHub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hash,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hash,,,,,,,,,,,,,,,,哈希值,,,
IP address,Noun,,,,,,,,,,,,,,,,,,,,,,,,dirección IP,,,,,,,,,,Adresse IP,,,,,,,,IP adresa,,IP-cím,,,,,,indirizzo IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP-adres,,,,,,,,,,,,IP-адрес,,,,,,,,,,,,IP-adress,,,,,,,,,,,,,,,,IP地址,,,
Innovation,Noun,,,,ابتكار,,,,,,,,,,,,,,,,,,,,innovación,,,,,,,,,,innovation,,,,,,,,Inovacija,,innováció,,,,,,Innovazione,,,,,,,,,,,,,,,,,,നൂതന കണ്ടുപിടിത്തം,,,,,,,,,,Innovatie,,,,,,,,,,,,Инновация,,,,,,inovacija,,,,,,Innovation,,,,,,innovasyon,,Інновація,,,,,,,,创新,,,
Lightning Network,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omrežje Strela,,,,,,,,,,,,,,,,,,,,,,,,,
Meetup,Noun,,,,اجتماع,,,,,,,,,,,,,,Meetup,"Currently consistently translated into German as ""Meetup"".

(Could also be translated as ""Zusammenkunft"" or ""Treffen"" like on the Wiki: https://en.bitcoin.it/wiki/Meetups clicking on ""Deutsch"" leads to https://de.bitcoin.it/wiki/Treffen but then please consistently on all appearances of ""Meetups"" and ""Meetup"")",,,,,reunión,,,,,,,,,,rencontre,,,,,,,,Sastanak/upoznavanje,,Találkozó,,,,,,Incontro informale,,,,,,ការបង្កើតកិច្ចប្រជំុ,,모임,,,,,,,,,,യോഗം,,,,,,,,,,Meetup,Leave in English,,,,,,,,,,,Встреча,,,,,,,,,,,,,,,,,,Buluşma,,,,,,,,,,聚会,,,
Meetups,Noun,,,,,,,,,,,,,,,,,,Meetups,"Currently consistently translated into German as ""Meetups"" (see also Meetup).  (Could also be translated as ""Zusammenkunft"" or ""Treffen"" like on the Wiki: https://en.bitcoin.it/wiki/Meetups clicking on ""Deutsch"" leads to https://de.bitcoin.it/wiki/Treffen but then please consistently on all appearances of ""Meetups"" and ""Meetup"")",,,,,reuniones,,,,,,,,,,,,,,,,,,Sastanci/upoznavanja,,,,,,,,Incontri informali,,,,,,ការបង្កើតកិច្ចប្រជំុច្រើន,,,,,,,,,,,,,,,,,,,,,,Meetups,,,,,,,,,,,,Встречи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Node,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nodo,,,,,,,,,,,,mazgas,,,,,,,,,,,,,,,,,,,,,,,,Nodo,,,,,,,,,,,,,,,,Nod,,,,,,,,,,,,,,,,节点,,,
P2P,Noun,,,,,,,,,,,,,,,,,,,,,,,,red de pares,,,,,,,,,,,,,,,,,,,,,,,,,,P2P,,,,,,P2P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCI compliance,Noun,,,,الامتثال ل PCI   ,,,,,,,,,,,,,,,,,,,,cumplimiento PCI,,,,,,,,,,,,,,,,,,,,PCI megfelelés,PCI=Payment Card Industry,,,,,conformità PCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conformidade PCI,,,,соответствие стандартам PCI,,,,,,skladnost s pravili industrije plačilnih kartic,,,,,,,,,,,,,,,,,,,,,,,,,
PIN,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIN,,,,,,,,PIN,,,,,,លេខភីន,,,,,,,,,,,,,,,,,,,,,,pincode,,,,,,,,,,,,ПИН,,,,,,,,,,,,pinkod,,,,,,,,,,,,,,,,,,,
Page,Noun,,,,,,,,,,,,,,,,,,,,,,,,página,,,,,,,,,,,,,,,,,,stranica,,,,,,,,Pagina,,,,,,ទំព័រ,,,,,,puslapis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sida,,,,,,,,,,,,,,,,,,,
Paper,Noun,,,,,,,,,,,,,,,,,,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Documento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Papper, dokument",,,,,,,,,,,,,,,,,,,
Peer-to-Peer,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antar-Rekan,,,,Peer-to-Peer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Icke-hierarkisk,,,,,,,,,,,,,,,,P2P,,,
Phone,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telefono,,,,,,ទូរស័ព្ទ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protect,Verb,,,,,,,,,,,,,,,,,,,,,,,,proteger,,,,,,,,,,Protéger,,,,,,,,,,,,,,,,Proteggere,,,,,,ការពារ,,,,,,,,,,,,,,,,,,,,,,Beschermen,,,,,,,,,,,,,,,,,,,,,,,,Skydda,,,,,,,,,,,,,,,,保护,,,
Purchase,Verb,,,,,,,,,,,,,,,,,,,,,,,,compra,compra/comprar,,,,,,,,,,,,,,,,,,,,,,,,,Acquistare,,,,,,ទិញ,,,,,,,,,,,,,,,,,,,,,,Kopen,,,,,,,,,,,,,,,,,,,,,,,,Köpa,,,,,,,,,,,,,,,,购买,,,
Responsible,Adjective,,,,,,,,,,,,,,,,,,,,,,,,responsable,,,,,,,,,,,,,,,,,,,,,,,,,,responsabile,,,,,,ដែលទទួលខុសត្រូវ,,,,,,atsakingas,,,,,,,,,,,,,,,,Verantwoordelijk,,,,,,,,,,,,,,,,,,,,,,,,Ansvarig,,,,,,,,,,,,,,,,,,,
Signing Keys,Noun,,,,,,,,,,,,,,,,,,,,,,,,llaves de firma,,,,,,,,,,,,,,,,,,,,,,,,,,Chiavi di Firma,,,,,,Signing Keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Noun,,,,,,,,,,,,,,,,,,,,,,,,fuente,,,,,,,,,,,,,,,,,,,,,,,,,,Sorgente,,,,,,ប្រភព,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burim,,,,Källa,,,,,,,,,,,,,,,,源,,,
Stack Exchange,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stack Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stack Exchange,,,,,,,,,,,,,,,,Stack Exchange,,,
StackExchange,Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StackExchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StackExchange,,,,,,,,,,,,,,,,StackExchange,,,
UTXO,Noun,Unspent Transaction Output,,,,,,,,,,,,,,,,,,,,,,,,salida de transacción no gastada,,,,,,,,,,,,,,,,,,,,,,,,,UTXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTXO,,,,,,,,,,,,,,,,未使用交易输出,建议英文注释UTXO,,
Variable,Noun,,,,,,,,,,,,,,,,,,,,,,,,variable,,,,,,,,,,,,,,,,,,,,,,,,,,Variabile,,,,,,អញ្ញត,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verify,Verb,,,,,,,,,,,,,,,,,,,,,,,,verficar,,,,,,,,,,Vérifier,,,,,,,,,,,,,,,,Verificare,,,,,,ផ្ទៀងផ្ទាត់,,,,,,patvirtinti,,,,,,,,,,,,,,,,Verifiëren,,,,,,,,,,,,,,,,,,,,verifiko,,,,Verifiera,,,,,,,,,,,,,,,,验证,,,
WARNING,Noun,,,,,,,,,,,,,,,,,,,,,,,,ADVERTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,ATTENZIONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What,Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cosa,,,,,,តើអ្វី,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מסמך עמדה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White paper,Noun,,,,,,,,,,,,,,,,,,,,,,,,Libro blanco,,,,,,,,,,,,,,,,,,,,,,,,,,White Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitbok,,,,,,,,,,,,,,,,,,,
